<div>34. .. Qxb2 <br>Was ist Weiß Antwort? (3..5)</div><img src=6k1_7p_b4np1_3p4_2pN4_4QP2_Pq4PP_1B4K1_w_-_-_0_35+oriTrue.svg>	<div>35. Qe6+ Kg7 36. Qe7+ Kh6 37. Qf8+ Kg5 38. h4+<br></div><a href=https://lichess.org/analysis/6k1/7p/b4np1/3p4/2pN4/4QP2/Pq4PP/1B4K1_w_-_-_0_35?color=white><br>2.1&gt&gt8.0<br></a><img src=5Q2_7p_b4np1_3p2k1_2pN3P_5P2_Pq4P1_1B4K1_b_-_-_0_38+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Mixed 35-deep fen CM2023/Stephan
<div>36. .. Kg8 <br>Was ist Weiß Antwort? (5..8)</div><img src=6k1_4Q2p_b4np1_3p4_2pN4_5P2_Pq4PP_1B4K1_w_-_-_4_37+oriTrue.svg>	<div>37. Qxf6 Qxb1+ 38. Kf2 Qb2+ 39. Kg3 Bc8 40. Qd8+ Kg7 41. Qe7+ Kg8 42. Qe8+ Kg7 43. Qe5+ {Weiß räumt beide Bauern ab.}<br></div><a href=https://lichess.org/analysis/6k1/4Q2p/b4np1/3p4/2pN4/5P2/Pq4PP/1B4K1_w_-_-_4_37?color=white><br>3.9&gt&gt4.6(0.4)<br></a><img src=2b5_6kp_6p1_3pQ3_2pN4_5PK1_Pq4PP_8_b_-_-_11_43+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Mixed 37-deep fen CM2023/Stephan
<div>38. .. Kh5 <br>Was ist Weiß Antwort? (3..5)</div><img src=5Q2_7p_b4np1_3p3k_2pN3P_5P2_Pq4P1_1B4K1_w_-_-_1_39+oriTrue.svg>	<div>39. Qxf6 Qxb1+ 40. Kh2 Qb8+ 41. Kh3 Bc8+ 42. g4+<br></div><a href=https://lichess.org/analysis/5Q2/7p/b4np1/3p3k/2pN3P/5P2/Pq4P1/1B4K1_w_-_-_1_39?color=white><br>8.0&gt&gt2.0<br></a><img src=1qb5_7p_5Qp1_3p3k_2pN2PP_5P1K_P7_8_b_-_-_0_42+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Mixed 39-deep fen CM2023/Stephan
<div>40. .. Kh3 <br>Was ist Weiß Antwort? (3..5)</div><img src=8_7p_b4Qp1_3p4_2pN2P1_5P1k_Pq6_1B4K1_w_-_-_1_41+oriTrue.svg>	<div>41. Bc2 Qc1+ 42. Kf2 Qd2+ 43. Ne2<br></div><a href=https://lichess.org/analysis/8/7p/b4Qp1/3p4/2pN2P1/5P1k/Pq6/1B4K1_w_-_-_1_41?color=white><br>4.8(0.4)&gt&gt10.3<br></a><img src=8_7p_b4Qp1_3p4_2p3P1_5P1k_P1BqNK2_8_b_-_-_6_43+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Mixed 41-deep fen CM2023/Stephan
<div>42. .. Qh1 <br>Was ist Weiß Antwort? (2..3)</div><img src=8_7p_b4Qp1_3p4_2pN2P1_5P1k_P1B2K2_7q_w_-_-_5_43+oriTrue.svg>	<div>43. Ne2 Qh2+ 44. Ke3 d4+ 45. Qxd4<br></div><a href=https://lichess.org/analysis/8/7p/b4Qp1/3p4/2pN2P1/5P1k/P1B2K2/7q_w_-_-_5_43?color=white><br>5.0&gt&gt5.1(0.4)<br></a><img src=8_7p_b5p1_8_2pQ2P1_4KP1k_P1B1N2q_8_b_-_-_0_45+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Mixed 43-deep fen CM2023/Stephan
<div>44. .. d4 <br>Was ist Weiß Antwort? (3..5)</div><img src=8_7p_Q5p1_8_2pp2P1_5P1k_P1q1NK2_8_w_-_-_0_45+oriTrue.svg>	<div>45. Qd6 Kh4 46. Qxd4 Qxa2 47. Qe3 g5 48. Qe5 Qa7+ 49. Kg2<br></div><a href=https://lichess.org/analysis/8/7p/Q5p1/8/2pp2P1/5P1k/P1q1NK2/8_w_-_-_0_45?color=white><br>9.0&gt&gt2.0<br></a><img src=8_q6p_8_4Q1p1_2p3Pk_5P2_4N1K1_8_b_-_-_3_49+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Mixed 45-deep fen CM2023/Stephan
<div>28. b4 <br>Was ist Schwarz Antwort?</div><img src=6r1_4kp1R_pp2p3_8_1P3r2_P1P5_2K1R1P1_8_b_-_-_0_28+oriFalse.svg>	<div>28. .. b5<br></div><a href=https://lichess.org/analysis/6r1/4kp1R/pp2p3/8/1P3r2/P1P5/2K1R1P1/8_b_-_-_0_28?color=black><br>-0.6&gt&gt-0.4<br></a><img src=6r1_4kp1R_p3p3_1p6_1P3r2_P1P5_2K1R1P1_8_w_-_-_0_29+oriFalse.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Rooks 28-deep fen https://www.youtube.com/watch?v=Hc0Ki9oD2KI
<div>30. Rf2 <br>Was ist Schwarz Antwort? (2..3)</div><img src=6r1_4kp1R_p3p3_1p6_1P4r1_PKP5_5RP1_8_b_-_-_3_30+oriFalse.svg>	<div>30. .. R8g7 31. Rxg7 Rxg7<br></div><a href=https://lichess.org/analysis/6r1/4kp1R/p3p3/1p6/1P4r1/PKP5/5RP1/8_b_-_-_3_30?color=black><br>-0.2&gt&gt-0.1<br></a><img src=8_4kpr1_p3p3_1p6_1P6_PKP5_5RP1_8_w_-_-_0_32+oriFalse.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Rooks 30-deep fen https://www.youtube.com/watch?v=Hc0Ki9oD2KI
<div>32. a4 <br>Was ist Schwarz Antwort? (2..3)</div><img src=8_4kpr1_p3p3_1p6_PP6_1KP5_5RP1_8_b_-_-_0_32+oriFalse.svg>	<div>32. .. f5 33. axb5 axb5<br></div><a href=https://lichess.org/analysis/8/4kpr1/p3p3/1p6/PP6/1KP5/5RP1/8_b_-_-_0_32?color=black><br>-0.1&gt&gt-0.1<br></a><img src=8_4k1r1_4p3_1p3p2_1P6_1KP5_5RP1_8_w_-_-_0_34+oriFalse.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Rooks 32-deep fen https://www.youtube.com/watch?v=Hc0Ki9oD2KI
<div>34. Ra2 <br>Was ist Schwarz Antwort?</div><img src=8_4k1r1_4p3_1p3p2_1P6_1KP5_R5P1_8_b_-_-_1_34+oriFalse.svg>	<div>34. .. Kd6<br></div><a href=https://lichess.org/analysis/8/4k1r1/4p3/1p3p2/1P6/1KP5/R5P1/8_b_-_-_1_34?color=black><br>-0.1&gt&gt-2.1<br></a><img src=8_6r1_3kp3_1p3p2_1P6_1KP5_R5P1_8_w_-_-_2_35+oriFalse.svg><footer>2023-11-02 21:36:24</footer>	 Endgames Endgames/Rooks 34-deep fen https://www.youtube.com/watch?v=Hc0Ki9oD2KI
